number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
19,0.629226957087315,2026-04-12 20:45:52.571065,2026-04-12 20:45:54.296358,0 days 00:00:01.725293,0.7060324229219901,1.3501066556213108,0.017956840702219663,6,8,241,0.32237926120816984,0.7741593389782995,0.6437802588938323,COMPLETE
35,0.6289714127483765,2026-04-12 20:46:24.066472,2026-04-12 20:46:25.446502,0 days 00:00:01.380030,0.6233082009080133,1.5447995332189413,0.02090720208094099,4,6,260,0.6527468414936111,0.8596911181698432,0.8104551154268411,COMPLETE
38,0.6287982445410003,2026-04-12 20:46:29.496607,2026-04-12 20:46:30.739232,0 days 00:00:01.242625,0.6320520922302744,2.1303991776325364,0.013261117802226163,6,5,166,0.26369351400683144,0.8884450000012782,0.6268265453945725,COMPLETE
20,0.6284686029185277,2026-04-12 20:45:54.345083,2026-04-12 20:45:56.662384,0 days 00:00:02.317301,0.9941150233321336,3.015657116891887,0.043659796301277164,7,5,282,0.20084447265380428,0.9175646647953084,0.7300020532866958,COMPLETE
15,0.6283384711960849,2026-04-12 20:45:44.252952,2026-04-12 20:45:46.812378,0 days 00:00:02.559426,0.7927104918251069,1.0072258729585255,0.02026694303127034,8,6,261,0.6092599562105127,0.7069206493678307,0.7190852606077679,COMPLETE
9,0.6278949118750384,2026-04-12 20:45:29.406238,2026-04-12 20:45:30.607628,0 days 00:00:01.201390,0.7300733288106989,3.1877873567760657,0.012413189635294229,5,8,206,0.8872127425763265,0.4722149251619493,0.7243929286862649,COMPLETE
28,0.6278488177292157,2026-04-12 20:46:10.968097,2026-04-12 20:46:12.552469,0 days 00:00:01.584372,0.6395589308607613,1.5267501449193313,0.015016073530703635,6,9,228,0.5031659955076367,0.8182653172881378,0.6612644135386467,COMPLETE
42,0.6276361515917672,2026-04-12 20:46:36.663553,2026-04-12 20:46:38.368533,0 days 00:00:01.704980,0.6283438191642973,1.9500708193558693,0.011368075157277925,10,2,129,0.26376038843927635,0.8870008563152305,0.6557250713089383,COMPLETE
31,0.6274868407997147,2026-04-12 20:46:16.243166,2026-04-12 20:46:18.169915,0 days 00:00:01.926749,0.6187505009890429,0.7524309306412779,0.018495182534227567,6,6,270,0.6214742337504001,0.9780151758815502,0.7719207520753978,COMPLETE
14,0.6274324487298246,2026-04-12 20:45:42.061164,2026-04-12 20:45:44.203526,0 days 00:00:02.142362,0.770145152592013,1.6396506661396117,0.03017813091207221,7,9,257,0.3849679031223866,0.7049270826015106,0.9984067957444853,COMPLETE
18,0.6273426016599214,2026-04-12 20:45:51.481877,2026-04-12 20:45:52.518157,0 days 00:00:01.036280,0.8200480986180152,1.9665742215051472,0.0374473059081784,9,10,101,0.4326289760077814,0.8967956712129991,0.6924106883472467,COMPLETE
13,0.6271647891813511,2026-04-12 20:45:38.899027,2026-04-12 20:45:42.011275,0 days 00:00:03.112248,0.6018062857483749,2.7310942522318773,0.028138640083922715,8,7,300,0.5067000331265598,0.9989614997932007,0.6013754879414588,COMPLETE
16,0.6270052947350654,2026-04-12 20:45:46.862535,2026-04-12 20:45:49.301397,0 days 00:00:02.438862,0.8517314664119261,2.573169313010979,0.03679508952145012,9,8,256,0.027219026391197,0.01317921438092351,0.6018728841608865,COMPLETE
5,0.62639359615873,2026-04-12 20:45:24.906182,2026-04-12 20:45:25.931587,0 days 00:00:01.025405,0.6739417822102108,3.8756641168055728,0.05864129169696527,5,10,216,0.9394989415641891,0.8948273504276488,0.8186841117373118,COMPLETE
46,0.6259607432783385,2026-04-12 20:46:44.558343,2026-04-12 20:46:46.233582,0 days 00:00:01.675239,0.6472479872215434,2.291737445611347,0.019707971893239626,10,4,150,0.29260034599481743,0.8950864439233955,0.6160436885424554,COMPLETE
30,0.6258350214183187,2026-04-12 20:46:15.583730,2026-04-12 20:46:16.195672,0 days 00:00:00.611942,0.6858556069107006,0.615546708760339,0.01965376043294082,7,6,64,0.542437317965559,0.9422953083059437,0.7426636314027988,COMPLETE
4,0.625548140178999,2026-04-12 20:45:24.445378,2026-04-12 20:45:24.868610,0 days 00:00:00.423232,0.6488152939379115,0.17194260557609198,0.1024932221692416,3,5,126,0.9093204020787821,0.2587799816000169,0.7760609974958406,COMPLETE
2,0.6252906872390497,2026-04-12 20:45:22.224279,2026-04-12 20:45:22.991365,0 days 00:00:00.767086,0.7168578594140873,2.28034992108518,0.08012737503998542,5,4,158,0.7851759613930136,0.19967378215835974,0.6557975442608167,COMPLETE
24,0.6250099225631925,2026-04-12 20:46:03.390646,2026-04-12 20:46:04.654886,0 days 00:00:01.264240,0.6396564495826706,0.5133584233336306,0.010649596359819703,4,4,242,0.40309062513390476,0.9921338197669617,0.7577799056955867,COMPLETE
39,0.6236477783628052,2026-04-12 20:46:30.787460,2026-04-12 20:46:32.365930,0 days 00:00:01.578470,0.6719687768836073,1.7575042928019,0.05167787223882274,5,4,268,0.4016692738345341,0.9475969654455207,0.7904531073809846,COMPLETE
7,0.6232546543939725,2026-04-12 20:45:27.883167,2026-04-12 20:45:28.708196,0 days 00:00:00.825029,0.9208787923016158,4.9344346830025865,0.06333268775321843,5,1,139,0.7722447692966574,0.1987156815341724,0.6563696899899051,COMPLETE
29,0.6212130332852506,2026-04-12 20:46:12.602347,2026-04-12 20:46:15.534302,0 days 00:00:02.931955,0.6649013245228762,0.35273954424316845,0.0305756796712486,10,3,276,0.7070743589762062,0.6544880117040434,0.7062586249978218,COMPLETE
8,0.6094019354780832,2026-04-12 20:45:28.743675,2026-04-12 20:45:29.373248,0 days 00:00:00.629573,0.9085081386743783,1.7923286427213632,0.11069143219393454,9,1,51,0.11586905952512971,0.8631034258755935,0.8916028672163949,COMPLETE
1,0.6072407196227656,2026-04-12 20:45:21.468499,2026-04-12 20:45:22.188367,0 days 00:00:00.719868,0.6849356442713105,0.9170225492671691,0.2708160864249968,3,2,227,0.3042422429595377,0.5247564316322378,0.9329770563201687,COMPLETE
0,0.5944317948799719,2026-04-12 20:45:20.124991,2026-04-12 20:45:21.426996,0 days 00:00:01.302005,0.6624074561769746,0.2904180608409973,0.1205712628744377,10,2,144,0.8661761457749352,0.6011150117432088,0.8394633936788146,COMPLETE
